k,coor_x,coor_y,t_e,t_i,t_r,stb,gp_stb,infected_source
0,54.63625,-1.85745,36,38,42,1,1,9999
1,54.62088,-1.79246,38,40,44,1,1,0
2,54.60621,-1.75728,46,48,50,1,1,9999
3,54.61633,-1.8449,49,51,54,1,1,2
4,54.56211,-1.82062,50,52,55,1,1,9999
5,54.61545,-1.77545,38,40,43,1,1,0
6,54.58591,-1.70998,57,59,64,1,1,7
7,54.60676,-1.65931,54,56,64,1,1,4
8,54.62392,-1.61046,55,57,60,1,1,9999
9,54.5264,-1.6718,64,66,71,1,1,9999
10,54.58693,-1.77893,80,82,91,1,1,12
11,54.57489,-1.70432,78,80,84,1,1,9999
12,54.59905,-1.78757,78,80,81,1,1,9999
13,54.56362,-1.68972,93,95,98,1,1,9999
14,54.5723,-1.6439,100,102,105,1,1,9999
